Date,Value
1/1/2022,0.0
2/1/2022,1.6
3/1/2022,4.2
4/1/2022,0.0
5/1/2022,0.1
6/1/2022,4.9
7/1/2022,2.9
8/1/2022,0.4
9/1/2022,0.1
10/1/2022,0.0
11/1/2022,1.6
12/1/2022,2.0
13/1/2022,0.3
14/1/2022,6.3
15/1/2022,2.1
16/1/2022,1.3
17/1/2022,0.0
18/1/2022,0.0
19/1/2022,0.7
20/1/2022,3.4
21/1/2022,5.8
22/1/2022,3.2
23/1/2022,0.1
24/1/2022,0.0
25/1/2022,0.0
26/1/2022,0.0
27/1/2022,1.8
28/1/2022,1.4
29/1/2022,0.0
30/1/2022,0.3
31/1/2022,0.0
1/2/2022,0.1
2/2/2022,0.6
3/2/2022,1.5
4/2/2022,0.4
5/2/2022,1.9
6/2/2022,0.3
7/2/2022,1.3
8/2/2022,0.0
9/2/2022,0.0
10/2/2022,4.4
11/2/2022,0.7
12/2/2022,7.0
13/2/2022,7.6
14/2/2022,7.9
15/2/2022,2.9
16/2/2022,1.0
17/2/2022,2.4
18/2/2022,1.5
19/2/2022,7.0
20/2/2022,1.0
21/2/2022,3.9
22/2/2022,1.5
23/2/2022,5.2
24/2/2022,7.1
25/2/2022,5.2
26/2/2022,0.5
27/2/2022,5.7
28/2/2022,7.6
1/3/2022,9.6
2/3/2022,8.6
3/3/2022,7.5
4/3/2022,0.0
5/3/2022,0.2
6/3/2022,1.7
7/3/2022,2.8
8/3/2022,10.0
9/3/2022,10.0
10/3/2022,9.9
11/3/2022,10.1
12/3/2022,10.3
13/3/2022,10.3
14/3/2022,8.2
15/3/2022,3.3
16/3/2022,4.1
17/3/2022,3.6
18/3/2022,6.4
19/3/2022,6.9
20/3/2022,10.2
21/3/2022,11.0
22/3/2022,11.0
23/3/2022,11.1
24/3/2022,10.9
25/3/2022,10.8
26/3/2022,10.7
27/3/2022,10.1
28/3/2022,10.8
29/3/2022,1.6
30/3/2022,0.0
31/3/2022,0.0
1/4/2022,0.0
2/4/2022,0.0
3/4/2022,3.3
4/4/2022,8.4
5/4/2022,1.0
6/4/2022,1.6
7/4/2022,3.6
8/4/2022,2.3
9/4/2022,6.8
10/4/2022,7.5
11/4/2022,11.6
12/4/2022,12.4
13/4/2022,10.5
14/4/2022,9.4
15/4/2022,2.3
16/4/2022,6.2
17/4/2022,9.9
18/4/2022,6.6
19/4/2022,4.6
20/4/2022,3.2
21/4/2022,0.5
22/4/2022,2.6
23/4/2022,12.4
24/4/2022,0.1
25/4/2022,0.7
26/4/2022,10.9
27/4/2022,6.2
28/4/2022,8.4
29/4/2022,10.3
30/4/2022,8.8
1/5/2022,8.0
2/5/2022,8.5
3/5/2022,6.5
4/5/2022,10.5
5/5/2022,3.5
6/5/2022,2.4
7/5/2022,7.5
8/5/2022,9.7
9/5/2022,12.7
10/5/2022,12.3
11/5/2022,12.7
12/5/2022,10.2
13/5/2022,10.4
14/5/2022,13.5
15/5/2022,13.9
16/5/2022,12.1
17/5/2022,2.8
18/5/2022,13.4
19/5/2022,13.3
20/5/2022,10.2
21/5/2022,7.5
22/5/2022,11.7
23/5/2022,10.0
24/5/2022,2.1
25/5/2022,3.4
26/5/2022,6.5
27/5/2022,3.6
28/5/2022,9.5
29/5/2022,7.8
30/5/2022,8.5
31/5/2022,8.8
1/6/2022,8.3
2/6/2022,13.6
3/6/2022,13.1
4/6/2022,6.6
5/6/2022,11.3
6/6/2022,7.3
7/6/2022,1.0
8/6/2022,11.1
9/6/2022,1.7
10/6/2022,11.1
11/6/2022,13.3
12/6/2022,12.4
13/6/2022,6.2
14/6/2022,14.3
15/6/2022,14.8
16/6/2022,9.2
17/6/2022,13.1
18/6/2022,13.0
19/6/2022,13.6
20/6/2022,4.0
21/6/2022,12.8
22/6/2022,9.5
23/6/2022,14.9
24/6/2022,7.0
25/6/2022,1.5
26/6/2022,10.8
27/6/2022,12.4
28/6/2022,5.8
29/6/2022,0.5
30/6/2022,8.6
1/7/2022,5.2
2/7/2022,14.4
3/7/2022,14.7
4/7/2022,3.9
5/7/2022,6.9
6/7/2022,9.1
7/7/2022,0.4
8/7/2022,3.1
9/7/2022,5.7
10/7/2022,5.8
11/7/2022,9.9
12/7/2022,10.9
13/7/2022,5.4
14/7/2022,5.3
15/7/2022,10.5
16/7/2022,8.1
17/7/2022,14.2
18/7/2022,12.5
19/7/2022,14.4
20/7/2022,14.1
21/7/2022,9.8
22/7/2022,12.3
23/7/2022,4.9
24/7/2022,13.8
25/7/2022,13.6
26/7/2022,5.7
27/7/2022,7.5
28/7/2022,14.0
29/7/2022,3.4
30/7/2022,0.1
31/7/2022,10.4
1/8/2022,5.2
2/8/2022,11.9
3/8/2022,13.9
4/8/2022,14.0
5/8/2022,11.7
6/8/2022,9.6
7/8/2022,13.8
8/8/2022,12.6
9/8/2022,11.1
10/8/2022,10.3
11/8/2022,11.8
12/8/2022,10.6
13/8/2022,5.5
14/8/2022,4.9
15/8/2022,7.1
16/8/2022,12.7
17/8/2022,12.6
18/8/2022,8.3
19/8/2022,4.7
20/8/2022,0.0
21/8/2022,5.1
22/8/2022,0.0
23/8/2022,0.0
24/8/2022,5.2
25/8/2022,7.0
26/8/2022,7.4
27/8/2022,1.3
28/8/2022,0.4
29/8/2022,12.2
30/8/2022,7.6
31/8/2022,0.7
1/9/2022,2.4
2/9/2022,10.2
3/9/2022,11.2
4/9/2022,9.7
5/9/2022,5.9
6/9/2022,6.6
7/9/2022,8.0
8/9/2022,1.4
9/9/2022,5.0
10/9/2022,4.8
11/9/2022,4.9
12/9/2022,6.1
13/9/2022,3.3
14/9/2022,0.0
15/9/2022,0.1
16/9/2022,5.3
17/9/2022,1.4
18/9/2022,3.4
19/9/2022,2.7
20/9/2022,2.4
21/9/2022,2.0
22/9/2022,6.1
23/9/2022,5.8
24/9/2022,8.4
25/9/2022,4.8
26/9/2022,2.6
27/9/2022,1.4
28/9/2022,2.4
29/9/2022,6.4
30/9/2022,6.9
1/10/2022,1.2
2/10/2022,2.5
3/10/2022,1.4
4/10/2022,3.8
5/10/2022,4.5
6/10/2022,3.2
7/10/2022,5.3
8/10/2022,1.1
9/10/2022,8.0
10/10/2022,7.4
11/10/2022,2.4
12/10/2022,7.6
13/10/2022,5.3
14/10/2022,0.8
15/10/2022,0.0
16/10/2022,2.9
17/10/2022,7.6
18/10/2022,0.5
19/10/2022,2.1
20/10/2022,5.7
21/10/2022,1.2
22/10/2022,1.5
23/10/2022,1.5
24/10/2022,0.5
25/10/2022,4.9
26/10/2022,0.1
27/10/2022,5.2
28/10/2022,2.2
29/10/2022,4.1
30/10/2022,1.1
31/10/2022,0.0
1/11/2022,0.0
2/11/2022,3.9
3/11/2022,5.0
4/11/2022,0.0
5/11/2022,2.9
6/11/2022,0.0
7/11/2022,4.0
8/11/2022,7.7
9/11/2022,1.8
10/11/2022,4.2
11/11/2022,0.5
12/11/2022,0.0
13/11/2022,0.9
14/11/2022,6.5
15/11/2022,0.0
16/11/2022,0.0
17/11/2022,0.0
18/11/2022,0.0
19/11/2022,0.2
20/11/2022,0.0
21/11/2022,0.4
22/11/2022,0.0
